Lab,Latitude,Longitude
"Division of Speech, Music & Hearing, KTH Royal Institute of Technology, Stockholm, Sweden",59.3498733,18.0676817
"Division of Speech, Music & Hearing, KTH Royal Institute of Technology, Sweden",59.3498733,18.0676817
"ECE Department, IIIT Delhi, India",28.5458588,77.2706013
EECS International Graduate Program,24.786891,120.994922
"EIHW – Chair of Embedded Intelligence for Health Care & Wellbeing, University of Augsburg, Germany",48.3348011,10.8906655
Emulation AI,24.4769793,54.3303754
"Faculty of Linguistics and Literary Studies & CITEC, Bielefeld University, Germany",52.0367271,8.4926664
Ford Motor Company,42.3146565,-83.2546087
"GLAM – Group on Language, Audio, & Music, Imperial College London, UK",51.4988222,-0.1748735
"GammaLab, PingAn OneConnect",22.5553934,113.8890715
"Google, Japan",35.6668952,139.6720166
"Guangzhou Shiyuan Electronic Technology Company Limited, China",28.3609542,62.5348334
Highmark Health,40.4314699,-80.0629006
Huawei Translation Services Center,35.86166,104.195397
"ID R&D Inc., New York, USA",40.7510892,-73.9873064
IICT – Bulgarian Academy of Sciences,42.6945912,23.3321309
"IPAI, Seoul National University, Seoul, Republic of Korea",37.4648309,126.9546239
"Infosys Centre for AI & CSE Department, IIIT Delhi, India",28.5458588,77.2706013
"Institut für Informationsverarbeitung - L3S, Leibniz University Hannover, Germany",52.3822248,9.7152056
"Institute of Imaging & Computer Vision, RWTH Aachen University, Aachen, Germany",50.7775447,6.0749104
"Institute of Psychiatry, Psychology & Neuroscience (IoPPN), King’s College London, London, UK",51.5096581,-0.116601
JD Technology Group,39.6359629,116.3065796
"Key Laboratory of Intelligent Computing in Medical Image, Northeastern University, China",40.850043,122.6218192
Lanfrica,0.0,0.0
Lelapa AI,0.0,0.0
3M Health Information Systems,52.5197499,13.2823594
MODULABS,37.4921103,127.03094
Masakhane NLP,0.0,0.0
Max Planck Institute,48.1549958,11.459436
"MediaLab, Department of Electrical & Electronic Engineering, Stellenbosch University, South Africa",-33.9328078,18.864447
"MediaLab, E&E Engineering, Stellenbosch University, South Africa",-33.9328078,18.864447
"Meta, USA",37.4764662,-122.1962744
Microsoft Azure Speech,47.6739881,-122.121512
Microsoft Corp.,47.6739881,-122.121512
"Microsoft, India",28.629848,77.2206482
"Microsoft, USA",47.6721398,-122.1409983
NIO,31.2245159,121.1471167
"NVIDIA, USA",37.3708045,-121.9699389
"National institute of advanced industrial science and technology, AIST",36.0602821,140.1304807
NetApp,37.2961211,-121.9809019
"Observe.AI, India",12.9240892,77.668978
"Occupational Therapy and Psychological & Brain Sciences, Boston University",42.3505036,-71.107974
"Phonetics Work Group, Faculty of Linguistics and Literary Studies & CITEC, Bielefeld University,Germany",52.0367271,8.4926664
"Phonetics Workgroup, Faculty of Linguistics and Literary Studies & CITEC, Bielefeld University",52.0367271,8.4926664
Project Gutenberg,40.8227331,-112.1164575
Qualcomm AI Research,32.8247331,-117.2737847
"Reality Labs, Meta Inc.",37.4764662,-122.1962744
Riiid AI Research,48.2057523,16.3835722
Roblox,37.5574243,-122.3568295
"Samsung R&D Institute Bangalore, India",12.9801613,77.6948257
Samsung R&D Institute Poland,52.2322314,20.9815475
"Sangeetha Mahesh,Ajish K. Abraham, Anil Kumar Vuppala",17.4448778,78.3472463
"School of Electronic Engineering, Soongsil University",37.496358,126.9546473
SenseTime Research,22.3529584,113.9745927
SmartSound,34.2390211,-118.5487048
Snap Inc.,34.0218944,-118.501355
SpeakUnique Ltd.,55.9239661,-3.1817439
"Speech & Language Processing Lab, Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen, Germany",49.5979151,11.0019688
"Speech Lab of DAMO Academy, Alibaba Group, China",40.0053956,116.3954173
"Speech and Music Intelligence (SAMI), ByteDance",35.86166,104.195397
"Speech, Audio & Music Intelligence (SAMI), ByteDance",35.86166,104.195397
Spotify,59.3262131,17.8172505
State Key Laboratory of Cognitive Intelligence,40.0241811,116.0577746
State Key Laboratory of Multimodal Artificial Intelligence Systems,39.9815341,116.3307851
"Supertone, Inc.",37.5649835,126.8917392
Technische Universität BraunschweigInstitute for Communications TechnologySchleinitzstr.,52.273423,10.525879
Tencent AI LAB,22.5553934,113.8890715
"Tencent AI Lab, Audio and Speech Signal Processing Oteam",22.5553934,113.8890715
Tencent ASR Oteam,22.5553934,113.8890715
Tokyo Medical and Dental University,35.746175,139.904237
Universidad de Navarra,42.8014692,-1.6594587
"ViVoLab, Aragón Institute for Engineering Research (I3A), University of Zaragoza, Zaragoza",41.6420679,-0.9040814
Voiceitt,32.0840057,34.8047693
WeNet Open Source Community,33.9202725,82.8558331
Xperi Inc.,37.2961211,-121.9809019
"Zoom Video Communications, Inc.",37.2961211,-121.9809019
"CLSP, Johns Hopkins University, Baltimore, USA",39.3272831,-76.6195475
